,location
6308,"42.899972999999996, -85.82990500000001"
6311,"53.567471, -0.08078400000000001"
6336,"33.508726, -94.61631899999999"
6353,"35.649714, -82.613303"
6362,"41.573144, -87.79329399999999"
6375,"41.581143, -87.800002"
6404,"38.907231, -77.036464"
6444,"34.425367, -97.148629"
6459,"33.577735, -111.925048"
6461,"-25.274398, 133.775136"
6468,"40.975614, -78.525024"
6477,"39.220256, -77.424284"
6479,"33.971751, -77.917599"
6492,"48.188188000000004, 17.257228"
6503,"38.907231, -77.036464"
6531,"42.145418, -86.24633399999999"
6538,"33.886917, 9.537499"
6543,"0.0, 0.0"
